,Institution,Control,State,Category,Institution_stripped,Id,County,Longitude,Latitude,Total  enrollment,Urbanization,Carnegie Classifation,out-of-state,foreign,Endowment
14,Arcadia University,Private,PA,Hybrid model,arcadiauniversity,211088,Montgomery County,-75.165205,40.091941,3905.0,Suburb,Master's,48.0,0.0,15951.0
15,Arkansas Tech University,Public,AR,In-person,arkansastechuniversity,106467,Pope County,-93.13233,35.29522700000001,11369.0,Town,Master's,4.0,1.0,
16,Asbury University,Private,KY,In-person,asburyuniversity,156213,Jessamine County,-84.66260600000003,37.862029,1797.0,Town,Baccalaureatte,46.0,0.0,23245.0
17,Assumption College,Private,MA,Considering options,assumptioncollege,164562,Worcester County,-71.828387,42.295435,2756.0,City,Master's,34.0,1.0,33993.0
18,Auburn University,Public,AL,Hybrid model,auburnuniversity,100858,Lee County,-85.492409,32.600201,24864.0,City,Research,37.0,1.0,
19,Auburn University at Montgomery,Public,AL,In-person,auburnuniversityatmontgomery,100830,Montgomery County,-86.177351,32.369939,5084.0,City,Master's,2.0,0.0,
20,Augustana College,Private,IL,In-person,augustanacollege,143084,Rock Island County,-90.552402,41.500326,2524.0,City,Baccalaureatte,15.0,3.0,50005.0
21,Augustana College,Private,IL,In-person,augustanacollege,219000,Minnehaha County,-96.738507,43.525939,1765.0,City,Baccalaureatte,61.0,0.0,33083.0
22,Austin Peay State University,Public,TN,In-person,austinpeaystateuniversity,219602,Montgomery County,-87.35408100000002,36.533319,10399.0,City,Master's,6.0,0.0,
23,Austin Peay State University,Public,TN,In-person,austinpeaystateuniversity,219602,Montgomery County,-87.35408100000002,36.533319,10399.0,City,Master's,6.0,0.0,
24,Averett University,Private,VA,In-person,averettuniversity,231420,Danville city,-79.413214,36.577273,906.0,Town,Baccalaureatte,,,25676.0
25,Avila University,Private,MO,In-person,avilauniversity,176628,Jackson County,-94.591387,38.912159,1971.0,City,Master's,21.0,3.0,5216.0
26,Azusa Pacific University,Private,CA,In-person,azusapacificuniversity,109785,Los Angeles County,-117.88795,34.130865,10755.0,Suburb,Research,22.0,0.0,6604.0
27,Ball State University,Public,IN,In-person,ballstateuniversity,150136,Delaware County,-85.408863,40.198942,20503.0,City,Research,,,
28,Bard College,Private,NY,In-person,bardcollege,189088,Dutchess County,-73.906243,42.02180300000001,2355.0,Town,Baccalaureatte,,,51449.0
29,Bard College at Simon's Rock,Private,MA,In-person,bardcollegeatsimon'srock,167792,Berkshire County,-73.38000799999998,42.209241,350.0,Rural,Baccalaureate/Associate's Colleges,72.0,12.0,36777.0
30,Barnard College,Private,NY,Considering options,barnardcollege,189097,New York County,-73.964027,40.809137,2489.0,City,Baccalaureatte,62.0,9.0,99262.0
31,Barry University,Private,FL,Considering options,barryuniversity,132471,Miami-Dade County,-80.196136,25.878865,9030.0,Suburb,Research,45.0,8.0,3670.0
32,Bates College,Private,ME,Undecided,batescollege,160977,Androscoggin County,-70.203333,44.105299,1791.0,City,Baccalaureatte,83.0,7.0,133908.0
33,Baylor University,Private,TX,In-person,bayloruniversity,223232,McLennan County,-97.119359,31.545956,15616.0,City,Research,27.0,2.0,67958.0
34,Beacon College,Private,FL,In-person,beaconcollege,384254,Lake County,-81.875619,28.810799,190.0,Suburb,Baccalaureatte,71.0,10.0,261.0
35,Belhaven University,Private,MS,In-person,belhavenuniversity,175421,Hinds County,-90.169228,32.318415,4025.0,City,Master's,,,1616.0
36,Belmont University,Private,TN,Considering options,belmontuniversity,219709,Davidson County,-86.794715,36.133866,6915.0,City,Master's,73.0,1.0,13557.0
37,Beloit College,Private,WI,Hybrid model,beloitcollege,238333,Rock County,-89.03147,42.50363,1306.0,City,Baccalaureatte,,,92305.0
38,Bemidji State University,Public,MN,Hybrid model,bemidjistateuniversity,173124,Beltrami County,-94.874529,47.482505,4963.0,Town,Master's,,,
39,Benedictine College,Private,KS,In-person,benedictinecollege,154712,Atchison County,-95.111424,39.57295300000001,2177.0,Town,Baccalaureatte,70.0,2.0,8865.0
40,Bennington College,Private,VT,In-person,benningtoncollege,230816,Bennington County,-73.237498,42.92004,738.0,Town,Baccalaureatte,,,17627.0
41,Bentley University,Private,MA,In-person,bentleyuniversity,164739,Middlesex County,-71.220148,42.388798,5658.0,City,Master's,,,43423.0
42,Bethany College,Private,WV,In-person,bethanycollege,154721,McPherson County,-97.673173,38.5786,665.0,Town,Baccalaureatte,,,42514.0
43,Bethany College,Private,WV,In-person,bethanycollege,237181,Brooke County,-80.56916,40.204594,726.0,Rural,Baccalaureatte,83.0,2.0,60234.0
44,Bethel University,Private,MN,In-person,betheluniversity,173160,Ramsey County,-93.159295,45.057091,4340.0,Suburb,Master's,,,6617.0
45,Bethel University,Private,MN,In-person,betheluniversity,219718,Carroll County,-88.516162,36.139271,6634.0,Town,Master's,,,518.0
46,Biola University,Private,CA,In-person,biolauniversity,110097,Los Angeles County,-118.017342,33.904823,6301.0,Suburb,Research,25.0,0.0,17473.0
47,Bloomfield College,Private,NJ,Considering options,bloomfieldcollege,183822,Essex County,-74.19593,40.794218,1979.0,Suburb,Baccalaureatte,0.0,0.0,5474.0
48,Bluffton University,Private,OH,In-person,blufftonuniversity,201371,Allen County,-83.897678,40.896998,1146.0,Town,Baccalaureatte,,,20012.0
49,Boise State University,Public,ID,Hybrid model,boisestateuniversity,142115,Ada County,-116.205789,43.60440300000001,21981.0,City,Master's,,,
50,Boston College,Private,MA,In-person,bostoncollege,164924,Middlesex County,-71.171488,42.337688,14309.0,City,Research,,,137445.0
51,Boston University,Private,MA,In-person,bostonuniversity,164988,Suffolk County,-71.09984,42.349581,32411.0,City,Research,,,43924.0
52,Bowdoin College,Private,ME,Undecided,bowdoincollege,161004,Cumberland County,-69.965165,43.906969,1795.0,Town,Baccalaureatte,83.0,7.0,574151.0
53,Bradley University,Private,IL,In-person,bradleyuniversity,143358,Peoria County,-89.61462,40.697605,5430.0,City,Master's,15.0,0.0,49328.0
54,Brandeis University,Private,MA,Considering options,brandeisuniversity,165015,Middlesex County,-71.254716,42.364947,5825.0,City,Research,60.0,20.0,109992.0
55,Brevard College,Private,NC,In-person,brevardcollege,198066,Transylvania County,-82.729763,35.237657,701.0,Town,Baccalaureatte,,,34639.0
56,Brown University,Private,RI,Considering options,brownuniversity,217156,Providence County,-71.40446700000003,41.827605,8943.0,City,Research,81.0,15.0,303300.0
57,Bryant University,Private,RI,In-person,bryantuniversity,217165,Providence County,-71.539147,41.920149,3454.0,Suburb,Master's,82.0,7.0,44633.0
58,Bryn Mawr College,Private,PA,In-person,brynmawrcollege,211273,Montgomery County,-75.314988,40.028541,1738.0,Suburb,Baccalaureatte,,,458469.0
59,Bryn Mawr College,Private,PA,In-person,brynmawrcollege,211273,Montgomery County,-75.314988,40.028541,1738.0,Suburb,Baccalaureatte,,,458469.0
60,Bucknell University,Private,PA,In-person,bucknelluniversity,211291,Union County,-76.886275,40.954489,3608.0,Town,Baccalaureatte,73.0,5.0,180935.0
61,Buena Vista University,Private,IA,In-person,buenavistauniversity,153001,Buena Vista County,-95.208053,42.642529,2399.0,Town,Baccalaureatte,23.0,4.0,48494.0
62,Butler University,Private,IN,In-person,butleruniversity,150163,Marion County,-86.171791,39.840662,4827.0,City,Master's,,,37146.0
63,California Baptist University,Private,CA,In-person,californiabaptistuniversity,110361,Riverside County,-117.42587,33.928569,7144.0,City,Master's,6.0,2.0,2304.0
64,California Lutheran University,Private,CA,Considering options,californialutheranuniversity,110413,Ventura County,-118.879467,34.225551,4282.0,City,Master's,17.0,2.0,14701.0
65,California University of Pennsylvania,Public,PA,In-person,californiauniversityofpennsylvania,211361,Washington County,-79.884477,40.066473,8243.0,Suburb,Master's,7.0,1.0,
66,Cameron University,Public,OK,Considering options,cameronuniversity,206914,Comanche County,-98.434163,34.606487,5898.0,City,Master's,9.0,4.0,
67,Campbell University,Private,NC,Considering options,campbelluniversity,198136,Harnett County,-78.739508,35.40933300000001,6122.0,Town,Master's,,,20894.0
68,Carleton College,Private,MN,Considering options,carletoncollege,173258,Rice County,-93.154662,44.462304,2045.0,Town,Baccalaureatte,72.0,11.0,350972.0
69,Carlow University,Private,PA,Hybrid model,carlowuniversity,211431,Allegheny County,-79.963927,40.439851,3012.0,City,Master's,,,9251.0
70,Carnegie Mellon University,Private,PA,Hybrid model,carnegiemellonuniversity,211440,Allegheny County,-79.942914,40.444616,12367.0,City,Research,68.0,19.0,75155.0
71,Carroll College,Private,MT,In-person,carrollcollege,180106,Lewis and Clark County,-112.04053,46.602202,1431.0,Town,Baccalaureatte,,,26941.0
72,Carroll University,Public,WI,In-person,carrolluniversity,238458,Waukesha County,-88.227962,43.004647,3534.0,City,Master's,30.0,0.0,13359.0
73,Case Western Reserve University,Private,OH,Hybrid model,casewesternreserveuniversity,201645,Cuyahoga County,-81.605769,41.500812,10325.0,City,Research,60.0,12.0,186652.0
74,Catholic University of America,Private,DC,In-person,catholicuniversityofamerica,131283,District of Columbia,-76.998961,38.935796,6725.0,City,Research,,,45507.0
75,Cazenovia College,Private,NY,In-person,cazenoviacollege,189848,Madison County,-75.854054,42.931946,1077.0,Town,Baccalaureatte,17.0,0.0,26373.0
76,Cedarville University,Private,OH,In-person,cedarvilleuniversity,201654,Greene County,-83.81209799999998,39.750338,3462.0,Town,Baccalaureatte,59.0,2.0,6903.0
77,Central Michigan University,Public,MI,In-person,centralmichiganuniversity,169248,Isabella County,-84.775275,43.591137,26841.0,Town,Research,5.0,0.0,
78,Central State University,Public,OH,In-person,centralstateuniversity,201690,Greene County,-83.876795,39.716465,2068.0,Rural,Baccalaureatte,53.0,0.0,
79,Centre College,Private,KY,Hybrid model,centrecollege,156408,Boyle County,-84.779175,37.645102,1381.0,Town,Baccalaureatte,,,171292.0
80,Chapman University,Private,CA,In-person,chapmanuniversity,111948,Orange County,-117.851481,33.793678,7892.0,City,Master's,31.0,5.0,29744.0
81,Charleston Southern University,Private,SC,In-person,charlestonsouthernuniversity,217688,Charleston County,-80.069288,32.981986,3269.0,City,Master's,,,5013.0
82,Chatham University,Private,PA,In-person,chathamuniversity,211556,Allegheny County,-79.92608299999998,40.448432,2170.0,City,Master's,24.0,0.0,29301.0
83,Chowan University,Private,NC,In-person,chowanuniversity,198303,Hertford County,-77.099141,36.436258,1367.0,Town,Baccalaureatte,,,18888.0
84,Christian Brothers University,Private,TN,In-person,christianbrothersuniversity,219833,Shelby County,-89.983241,35.127437,1577.0,City,Master's,19.0,1.0,18432.0
85,Christopher Newport University,Public,VA,In-person,christophernewportuniversity,231712,Newport News city,-76.48697800000002,37.061502,5232.0,City,Master's,7.0,0.0,
86,Clarion University of Pennsylvania,Public,PA,In-person,clarionuniversityofpennsylvania,211644,Clarion County,-79.374775,41.209676,6080.0,Town,Master's,7.0,0.0,
87,Clark University,Private,MA,Undecided,clarkuniversity,165334,Worcester County,-71.823537,42.251064,3551.0,City,Research,,,96250.0
88,Clarke University,Private,IA,In-person,clarkeuniversity,153126,Dubuque County,-90.691512,42.508619,1225.0,City,Baccalaureatte,,,28657.0
89,Clemson University,Public,SC,Considering options,clemsonuniversity,217882,Pickens County,-82.834463,34.677329,21303.0,Suburb,Research,38.0,1.0,
90,Cleveland State University,Public,OH,Considering options,clevelandstateuniversity,202134,Cuyahoga County,-81.673052,41.502918,17497.0,City,Research,,,
91,Coastal Carolina University,Public,SC,In-person,coastalcarolinauniversity,218724,Horry County,-79.0126,33.794733,9478.0,City,Master's,53.0,1.0,
92,Colby College,Private,ME,Undecided,colbycollege,161086,Kennebec County,-69.66337,44.564211,1820.0,Town,Baccalaureatte,74.0,14.0,332477.0
93,Colgate University,Private,NY,Considering options,colgateuniversity,190099,Madison County,-75.535,42.8188,2900.0,Town,Baccalaureatte,66.0,10.0,264911.0
94,College of Our Lady of the Elms,Private,MA,In-person,collegeofourladyoftheelms,167394,Hampden County,-72.601541,42.14179,1678.0,Suburb,Baccalaureatte,,,5787.0
95,College of the Atlantic,Private,ME,In-person,collegeoftheatlantic,160959,Hancock County,-68.228849,44.399584,370.0,Town,Baccalaureatte,,,116238.0
96,College of the Holy Cross,Private,MA,Undecided,collegeoftheholycross,166124,Worcester County,-71.808627,42.238942,2912.0,City,Baccalaureatte,62.0,2.0,203172.0
97,Colorado Christian University,Private,CO,Considering options,coloradochristianuniversity,126669,Jefferson County,-105.09483600000002,39.711701,5368.0,City,Master's,,,1145.0
98,Colorado College,Private,CO,Considering options,coloradocollege,126678,El Paso County,-104.82422,38.84657,2061.0,City,Baccalaureatte,73.0,9.0,317840.0
99,Colorado Mesa University,Public,CO,In-person,coloradomesauniversity,127556,Mesa County,-108.540281,39.076354,9676.0,City,Baccalaureatte,13.0,0.0,
100,Colorado School of Mines,Public,CO,In-person,coloradoschoolofmines,126775,Jefferson County,-105.227148,39.75079,5790.0,Suburb,Research,40.0,4.0,
101,Columbia College,Private,SC,In-person,columbiacollege,177065,Boone County,-92.326544,38.957899,16946.0,City,Master's,,,7758.0
102,Columbia College,Private,SC,In-person,columbiacollege,217934,Richland County,-81.001369,34.062923,1169.0,City,Master's,16.0,1.0,18743.0
103,Columbia College,Private,MO,In-person,columbiacollege,177065,Boone County,-92.326544,38.957899,16946.0,City,Master's,,,7758.0
104,Columbia College,Private,MO,In-person,columbiacollege,217934,Richland County,-81.001369,34.062923,1169.0,City,Master's,16.0,1.0,18743.0
105,Columbia International University,Private,SC,In-person,columbiainternationaluniversity,217925,Richland County,-81.069502,34.081233000000005,1154.0,City,Master's,46.0,1.0,4647.0
106,Concord University,Public,WV,In-person,concorduniversity,237330,Mercer County,-81.00569399999998,37.423854,2767.0,Town,Baccalaureatte,,,
107,Converse College,Private,SC,In-person,conversecollege,217961,Spartanburg County,-81.918829,34.956232,1333.0,City,Master's,27.0,0.0,52827.0
108,Cornell College,Private,IA,In-person,cornellcollege,153162,Linn County,-91.425435,41.925982,1125.0,Town,Baccalaureatte,81.0,3.0,52507.0
109,Cornell University,Private,NY,Undecided,cornelluniversity,190415,Tompkins County,-76.48269,42.445291,21593.0,City,Research,58.0,11.0,193396.0
110,Cornerstone University,Private,MI,In-person,cornerstoneuniversity,170037,Kent County,-85.595602,42.979044,2809.0,City,Master's,,,2801.0
111,Covenant College,Private,GA,In-person,covenantcollege,139393,Dade County,-85.37496,34.963327,1173.0,Suburb,Baccalaureatte,,,24117.0
112,Creighton University,Private,NE,In-person,creightonuniversity,181002,Douglas County,-95.947029,41.265325,8019.0,City,Master's,77.0,2.0,41179.0
113,Daemen College,Private,NY,In-person,daemencollege,190725,Erie County,-78.789025,42.965024,2871.0,Suburb,Master's,,,3367.0
114,Dallas Baptist University,Private,TX,In-person,dallasbaptistuniversity,224226,Dallas County,-96.947006,32.710017,5422.0,City,Master's,,,8514.0
115,Dartmouth College,Private,NH,Considering options,dartmouthcollege,182670,Grafton County,-72.289951,43.70408,6342.0,Town,Research,86.0,9.0,581104.0
116,Davenport University,Private,MI,Undecided,davenportuniversity,169479,Kent County,-85.529655,42.849713,9591.0,Suburb,Master's,,,2572.0
117,Davidson College,Private,NC,Considering options,davidsoncollege,198385,Mecklenburg County,-80.845236,35.500006,1788.0,Suburb,Baccalaureatte,,,292976.0
118,Denison University,Private,OH,In-person,denisonuniversity,202523,Licking County,-82.520625,40.072582,2274.0,Suburb,Baccalaureatte,68.0,8.0,305000.0
119,DePaul University,Private,IL,In-person,depauluniversity,144740,Cook County,-87.654116,41.923332,24414.0,City,Research,36.0,0.0,17773.0
120,DePauw University,Private,IN,In-person,depauwuniversity,150400,Putnam County,-86.863556,39.63953,2304.0,Town,Baccalaureatte,58.0,8.0,232634.0
121,Dickinson College,Private,PA,Considering options,dickinsoncollege,212009,Cumberland County,-77.197854,40.202796,2396.0,City,Baccalaureatte,72.0,8.0,142411.0
122,Dominican University ,Private,IL,In-person,dominicanuniversity,148496,Cook County,-87.821872,41.90283400000001,3470.0,Suburb,Master's,6.0,0.0,8035.0
123,Dominican University of California,Private,CA,In-person,dominicanuniversityofcalifornia,113698,Marin County,-122.514654,37.980014,2147.0,City,Master's,12.0,0.0,14139.0
124,Donnelly College,Private,KS,In-person,donnellycollege,155007,Wyandotte County,-94.65103,39.112227,474.0,City,Baccalaureate/Associate's Colleges,,,22002.0
125,Drake University,Private,IA,In-person,drakeuniversity,153269,Polk County,-93.654062,41.60381,5139.0,City,Master's,72.0,0.0,36792.0
126,Drew University,Private,NJ,Considering options,drewuniversity,184348,Morris County,-74.425825,40.757026,2291.0,Suburb,Baccalaureatte,30.0,0.0,78215.0
127,Drexel University,Private,PA,Undecided,drexeluniversity,212054,Philadelphia County,-75.188745,39.954855,26132.0,City,Research,46.0,18.0,23977.0
128,Drury University,Private,MO,In-person,druryuniversity,177214,Greene County,-93.285773,37.219757,4649.0,City,Master's,,,17838.0
129,Duke University,Private,NC,Considering options,dukeuniversity,198419,Durham County,-78.94226,36.00159,15467.0,City,Research,,,364661.0
130,Duke University,Private,NC,In-person,dukeuniversity,198419,Durham County,-78.94226,36.00159,15467.0,City,Research,,,364661.0
131,Duquesne University,Private,PA,In-person,duquesneuniversity,212106,Allegheny County,-79.99304599999998,40.437496,9904.0,City,Research,26.0,2.0,21257.0
132,Earlham College,Private,IN,In-person,earlhamcollege,150455,Wayne County,-84.911464,39.822278,1159.0,Town,Baccalaureatte,67.0,16.0,305019.0
133,East Carolina University,Public,NC,In-person,eastcarolinauniversity,198464,Pitt County,-77.366199,35.606347,26887.0,City,Research,15.0,0.0,
134,East Tennessee State University,Public,TN,Undecided,easttennesseestateuniversity,220075,Washington County,-82.366954,36.301643,14691.0,City,Research,14.0,2.0,
135,Eastern Illinois University,Public,IL,In-person,easternillinoisuniversity,144892,Coles County,-88.175505,39.483017,9775.0,Town,Master's,5.0,1.0,
136,Eastern Michigan University,Public,MI,In-person,easternmichiganuniversity,169798,Washtenaw County,-83.624499,42.245751,23447.0,Suburb,Master's,15.0,1.0,
137,Eastern Nazarene College,Private,MA,In-person,easternnazarenecollege,165644,Norfolk County,-71.011238,42.271214,1478.0,Suburb,Baccalaureatte,,,10706.0
138,Eastern Washington University,Public,WA,Online,easternwashingtonuniversity,235097,Spokane County,-117.589371,47.491293,12791.0,Town,Master's,6.0,0.0,
139,Eckerd College,Private,FL,In-person,eckerdcollege,133492,Pinellas County,-82.685992,27.718996,2173.0,City,Baccalaureatte,78.0,6.0,20145.0
140,Elmhurst College,Private,IL,In-person,elmhurstcollege,144962,DuPage County,-87.946096,41.89921500000001,3210.0,Suburb,Master's,19.0,0.0,26608.0
141,Elon University,Private,NC,In-person,elonuniversity,198516,Alamance County,-79.50563199999998,36.104149,6305.0,Suburb,Master's,80.0,1.0,27116.0
142,Emerson College,Private,MA,In-person,emersoncollege,165662,Suffolk County,-71.074037,42.35532,4561.0,City,Master's,75.0,5.0,27474.0
143,Emory & Henry College,Private,VA,In-person,emory&henrycollege,232025,Washington County,-81.831737,36.772543,959.0,Rural,Baccalaureatte,42.0,1.0,95410.0
144,Emory University,Private,GA,In-person,emoryuniversity,139658,DeKalb County,-84.32578199999998,33.798836,14513.0,Suburb,Research,66.0,16.0,382343.0
145,Emporia State University,Public,KS,In-person,emporiastateuniversity,155025,Lyon County,-96.179454,38.41258300000001,6033.0,Town,Master's,7.0,0.0,
146,Evangel University,Private,MO,In-person,evangeluniversity,177339,Greene County,-93.262614,37.220956,2274.0,City,Baccalaureatte,,,4603.0
147,Fairfield University,Private,CT,In-person,fairfielduniversity,129242,Fairfield County,-73.25778000000003,41.160732,4919.0,Suburb,Master's,74.0,2.0,57869.0
148,Fairmont State University,Public,WV,In-person,fairmontstateuniversity,237367,Marion County,-80.16184399999999,39.485925,4232.0,Town,Master's,11.0,0.0,
149,Ferris State University,Public,MI,In-person,ferrisstateuniversity,169910,Mecosta County,-85.483509,43.687464,14707.0,Town,Master's,7.0,1.0,
150,Ferrum College,Private,VA,In-person,ferrumcollege,232089,Franklin County,-80.020864,36.926648,1512.0,Rural,Baccalaureatte,,,30190.0
151,Finlandia University,Private,MI,In-person,finlandiauniversity,172440,Houghton County,-88.589392,47.12709,525.0,Town,Baccalaureatte,29.0,9.0,8076.0
152,Fisher College,Private,MA,Undecided,fishercollege,165802,Suffolk County,-71.074125,42.35525300000001,1930.0,City,Baccalaureate/Associate's Colleges,,,
153,Florida Institute of Technology,Private,FL,In-person,floridainstituteoftechnology,133881,Brevard County,-80.624628,28.064503,5644.0,City,Research,,,11992.0
154,Florida Southern College,Private,FL,In-person,floridasoutherncollege,134079,Polk County,-81.945791,28.031507,2619.0,City,Baccalaureatte,40.0,4.0,32743.0
155,Florida State University,Public,FL,In-person,floridastateuniversity,134097,Leon County,-84.294801,30.4421,40909.0,City,Research,9.0,2.0,
156,Fordham University,Private,NY,In-person,fordhamuniversity,191241,Bronx County,-73.889578,40.861183,15097.0,City,Research,54.0,6.0,39837.0
157,Fort Lewis College,Public,CO,In-person,fortlewiscollege,127185,La Plata County,-107.867003,37.27542800000001,4021.0,Town,Baccalaureatte,47.0,0.0,
158,Francis Marion University,Public,SC,In-person,francismarionuniversity,218061,Florence County,-79.65551500000002,34.192277000000004,4058.0,Suburb,Master's,4.0,1.0,
159,Franciscan University of Steubenville,Private,OH,In-person,franciscanuniversityofsteubenville,205957,Jefferson County,-80.623094,40.376086,2733.0,City,Master's,,,17992.0
160,Franklin and Marshall College,Private,PA,Considering options,franklinandmarshallcollege,212577,Lancaster County,-76.319037,40.048045,2297.0,City,Baccalaureatte,,,118460.0
161,Franklin College,Private,IN,In-person,franklincollege,150604,Johnson County,-86.04718199999998,39.478298,1014.0,Suburb,Baccalaureatte,,,77521.0
162,Franklin Pierce University,Private,NH,In-person,franklinpierceuniversity,182795,Cheshire County,-72.057875,42.782305,2204.0,Rural,Master's,,,2399.0
163,Furman University,Private,SC,In-person,furmanuniversity,218070,Greenville County,-82.441473,34.920784999999995,2953.0,Suburb,Baccalaureatte,,,198459.0
164,Gallaudet University,Private,DC,Undecided,gallaudetuniversity,131450,District of Columbia,-76.993675,38.90737100000001,1561.0,City,Master's,92.0,5.0,121176.0
165,Gannon University,Private,PA,In-person,gannonuniversity,212601,Erie County,-80.086258,42.126111,4211.0,City,Master's,29.0,5.0,12180.0
166,Gardner-Webb University,Private,NC,In-person,gardner-webbuniversity,198561,Cleveland County,-81.668141,35.24732,4656.0,Town,Master's,29.0,3.0,13056.0
167,Geneva College,Private,PA,In-person,genevacollege,212656,Beaver County,-80.35254499999998,40.773474,1852.0,Suburb,Baccalaureatte,,,17873.0
168,George Fox University,Public,OR,In-person,georgefoxuniversity,208822,Yamhill County,-122.968394,45.30399,3712.0,Town,Master's,39.0,4.0,5850.0
169,George Mason University,Public,VA,In-person,georgemasonuniversity,232186,Fairfax County,-77.30794,38.83088,33917.0,Suburb,Research,17.0,1.0,
170,George Washington University,Private,DC,In-person,georgewashingtonuniversity,131469,District of Columbia,-77.047871,38.89865,25264.0,City,Research,87.0,10.0,63277.0
171,Georgetown University,Private,DC,Hybrid model,georgetownuniversity,131496,District of Columbia,-77.073463,38.90880900000001,17849.0,City,Research,89.0,10.0,83669.0
172,Gettysburg College,Private,PA,Undecided,gettysburgcollege,212674,Adams County,-77.23498199999997,39.836091,2524.0,City,Baccalaureatte,73.0,4.0,94361.0
173,Gonzaga University,Private,WA,In-person,gonzagauniversity,235316,Spokane County,-117.403062,47.668144,7605.0,City,Master's,51.0,1.0,22282.0
174,Goshen College,Private,IN,In-person,goshencollege,150668,Elkhart County,-85.826766,41.564254,888.0,City,Baccalaureatte,45.0,5.0,112373.0
175,Goucher College,Private,MD,In-person,gouchercollege,162654,Baltimore County,-76.59484300000003,39.410175,2111.0,City,Baccalaureatte,,,103891.0
176,Grand Valley State University,Public,MI,In-person,grandvalleystateuniversity,170082,Ottawa County,-85.887519,42.965208,24477.0,Suburb,Master's,8.0,1.0,
177,Great Basin College,Public,NV,Hybrid model,greatbasincollege,182306,Elko County,-115.76733,40.84242,3181.0,Town,Baccalaureate/Associate's Colleges,,,
178,Grinnell College,Private,IA,Considering options,grinnellcollege,153384,Poweshiek County,-92.721246,41.747048,1721.0,Town,Baccalaureatte,74.0,15.0,950232.0
179,Hampden-Sydney College,Private,VA,In-person,hampden-sydneycollege,232256,Prince Edward County,-78.461371,37.242482,1070.0,Rural,Baccalaureatte,,,124516.0
180,Hampshire College,Private,MA,In-person,hampshirecollege,166018,Hampshire County,-72.53240100000002,42.324772,1492.0,Suburb,Baccalaureatte,,,27750.0
181,Hampton University,Private,VA,Undecided,hamptonuniversity,232265,Hampton city,-76.337647,37.022084,4622.0,City,Master's,,,54657.0
182,Hanover College,Private,IN,In-person,hanovercollege,150756,Jefferson County,-85.461086,38.712488,1163.0,Town,Baccalaureatte,,,120946.0
183,Harding University,Private,AR,In-person,hardinguniversity,107044,White County,-91.729008,35.24960499999999,6238.0,Town,Master's,,,18798.0
184,Harvard University,Private,MA,Considering options,harvarduniversity,166027,Middlesex County,-71.118177,42.374429,28297.0,City,Research,,,1392761.0
185,Harvey Mudd College,Private,CA,Considering options,harveymuddcollege,115409,Los Angeles County,-117.710594,34.106137,807.0,Suburb,Baccalaureatte,,,306579.0
186,Hastings College,Private,NE,In-person,hastingscollege,181127,Adams County,-98.373641,40.590448,1144.0,Town,Baccalaureatte,,,66487.0
187,Haverford College,Private,PA,In-person,haverfordcollege,212911,Montgomery County,-75.302562,40.013368,1187.0,Suburb,Baccalaureatte,,,345178.0
188,Hawaii Pacific University,Private,HI,In-person,hawaiipacificuniversity,141644,Honolulu County,-157.85941100000005,21.31028,6736.0,City,Master's,,,11735.0
